Model,N,Overall accuracy (%),95% CI,Accuracy sham-A (%),Accuracy sham-B (%),Balanced accuracy (%),Tool-A rate (%),Model type
deepseek-reasoner,500,78.2,74.4-81.6,60.7,96.0,78.3,67.4,reasoning
Qwen/Qwen3-VL-8B-Instruct,500,73.0,68.9-76.7,53.6,92.7,73.2,69.4,open
ServiceNow-AI/Apriel-1.6-15b-Thinker,500,71.4,67.3-75.2,45.6,97.6,71.6,75.8,reasoning
openai/gpt-oss-120b,500,71.0,66.9-74.8,49.6,92.7,71.2,71.4,closed
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,500,69.8,65.6-73.7,65.9,73.8,69.8,53.8,open
openai/gpt-oss-20b,500,69.2,65.0-73.1,44.0,94.8,69.4,75.2,closed
Qwen/Qwen3-Next-80B-A3B-Thinking,500,64.0,59.7-68.1,29.8,98.8,64.3,84.4,reasoning
mistralai/Mistral-Small-24B-Instruct-2501,500,64.2,59.9-68.3,59.1,69.4,64.2,55.0,open
gpt-4.1-2025-04-14,500,63.8,59.5-67.9,35.3,92.7,64.0,78.6,closed
deepseek-chat,500,60.6,56.3-64.8,46.8,74.6,60.7,63.8,closed
gpt-5-nano-2025-08-07,500,56.4,52.0-60.7,26.6,86.7,56.6,80.0,closed
meta-llama/Llama-4-Scout-17B-16E-Instruct,500,54.2,49.8-58.5,49.2,59.3,54.2,55.0,open
google/gemma-3n-E4B-it,500,53.6,49.2-57.9,43.3,64.1,53.7,60.4,open
gpt-4o-mini-2024-07-18,500,52.8,48.4-57.1,7.5,98.8,53.2,95.6,closed
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,500,52.6,48.2-56.9,30.6,75.0,52.8,72.2,open
meta-llama/Llama-3.3-70B-Instruct-Turbo,500,50.8,46.4-55.2,19.0,83.1,51.1,82.0,open
gpt-4.1-nano-2025-04-14,500,50.4,46.0-54.8,9.1,92.3,50.7,91.6,closed
gemini-2.5-flash-lite,500,50.6,46.2-55.0,18.3,83.1,50.7,82.4,closed
meta-llama/Llama-3.2-3B-Instruct-Turbo,500,49.4,45.0-53.8,36.5,62.5,49.5,63.0,open
nvidia/NVIDIA-Nemotron-Nano-9B-v2,500,47.0,42.7-51.4,20.2,74.2,47.2,77.0,open
mistralai/Mixtral-8x7B-Instruct-v0.1,500,44.0,39.7-48.4,20.6,67.7,44.2,73.6,open
